country,population,avg_hh,households,p1,p23,p45,p6,year
India,1425775850.0,4.57,294292700.0,4.11,27.31,41.64,26.94,2015
China,1409778724.0,2.8,482427212.0,17.84,44.5,28.06,9.6,2023
United States,330662999.0,2.49,125736353.0,27.89,49.49,18.81,3.81,2020
Indonesia,269603400.0,3.86,69855344.0,7.1,36.62,41.5,14.78,2017
Pakistan,220892331.0,6.8,32462785.0,1.08,12.88,25.16,60.88,2013
Brazil,212347290.0,3.31,64124398.0,12.0,47.27,31.91,8.82,2010
Nigeria,206139587.0,4.9,42057041.0,11.51,25.53,27.86,35.1,2015
Bangladesh,169660274.0,4.47,37957746.0,1.74,29.71,45.59,22.96,2014
Russia,146748590.0,2.58,56771478.0,25.97,50.83,19.55,3.65,2010
Mexico,127792286.0,3.74,34167462.0,10.08,37.68,37.75,14.49,2015
Japan,125800000.0,2.26,54310000.0,37.97,44.67,15.72,1.64,2020
Philippines,109441605.0,4.23,25893157.0,9.18,30.05,36.82,23.95,2017
DR Congo,101935800.0,5.3,19225670.0,7.25,21.19,27.81,43.74,2013
Egypt,101189802.0,4.13,24496076.0,6.48,30.4,43.12,20.0,2014
Ethiopia,100829000.0,4.61,21850103.0,7.52,27.01,32.0,33.47,2016
Vietnam,96483981.0,3.78,25503951.0,7.28,36.25,43.44,13.02,2009
Turkey,84140990.0,3.14,26309332.0,19.74,42.49,28.6,9.17,2023
Iran,83955821.0,3.49,24056109.0,8.48,49.13,37.86,4.53,2016
Germany,83122889.0,2.05,40624971.0,39.53,47.0,12.71,0.76,2011
France,67146000.0,2.22,30243926.0,35.46,46.84,16.08,1.62,2015
United Kingdom,66796807.0,2.27,29486179.0,33.01,46.41,18.54,2.04,2011
Italy,59554023.0,2.4,24814195.0,31.1,43.26,23.68,1.96,2011
South Africa,59308690.0,3.36,17668822.0,23.84,38.77,26.15,11.24,2011
Tanzania,55155000.0,4.85,11362988.0,4.43,25.0,35.97,34.6,2016
Myanmar,51419420.0,4.22,12186518.0,12.0,27.0,38.99,22.01,2014
South Korea,51583722.0,2.18,23650555.0,40.81,40.98,17.36,0.85,2022
